number,population,under15-man
28,226836,16273
28,126393,5493
28,249298,18537
28,536270,40945
28,453748,27498
28,290959,20507
28,482640,37044
28,47254,3109
28,93238,6465
28,196127,15035
28,31158,1885
28,85592,6073
28,266937,20135
28,50523,3603
28,42802,3080
28,225700,16149
28,81009,5237
28,93901,6800
28,156423,11137
28,49680,3910
28,114216,8287
28,47993,3168
28,43263,2842
28,26501,1728
28,67757,4746
28,49834,3234
28,32814,2242
28,46459,2796
28,40938,2905
28,40181,2927
28,80518,5736
28,31739,2596
28,23104,1657
28,31026,2169
28,33183,2459
28,13288,775
28,19830,1373
28,12289,792
28,33438,2948
28,16636,1069
28,19265,1117
28,19696,1283
28,16004,1036
29,366591,23547
29,68451,4340
29,89023,5846
29,69178,4809
29,125605,8968
29,60146,4068
29,34460,2047
29,30287,1511
29,118113,8983
29,75227,6717
29,35859,2846
29,34227,1855
29,4107,179
29,19727,1200
29,23440,1575
29,27734,1913
29,7929,397
29,8653,548
29,7440,399
29,32121,2219
29,1895,65
29,2102,77
29,7657,406
29,5856,323
29,23728,1723
29,22182,1416
29,33070,2601
29,18531,1111
29,8642,316
29,19176,1254
29,7020,314
29,840,32
29,1572,78
29,524,18
29,4107,211
29,1039,63
29,683,25
29,1643,46
29,2143,82
30,370364,23840
30,54783,3234
30,66361,4423
30,30592,2158
30,26111,1812
30,79119,5318
30,31498,2022
30,65840,4412
30,52882,4332
30,10391,451
30,18230,995
30,4963,226
30,3975,139
30,13210,835
30,7714,505
30,27162,1890
30,8077,505
30,7432,611
30,6508,440
30,8606,572
30,13470,1018
30,10509,730
30,22696,1306
30,14807,1174
30,4730,270
30,17080,937
30,3250,170
30,3103,134
30,486,21
30,18249,941
31,197449,13779
31,148271,10578
31,50720,3454
31,35259,2423
31,12362,749
31,3873,187
31,7718,368
31,18427,1209
31,7015,437
31,17029,1252
31,18531,1191
31,15442,1009
31,3339,246
31,17491,1019
31,11536,737
31,11621,680
31,5460,209
31,3745,157
31,3379,173
32,194258,13105
32,61713,3665
32,143796,10318
32,50015,3319
32,37996,2257
32,41836,2797
32,25697,1520
32,41917,2600
32,14355,1280
32,14456,828
32,5534,299
32,27689,2028
32,3900,201
32,5351,295
32,11959,652
32,8427,401
32,6810,370
32,2374,119
32,3136,165
32,657,37
32,15521,889
33,302685,20335
33,142237,10843
33,96948,7055
33,167714,13151
33,475513,35843
33,106788,7798
33,64588,3826
33,54225,3210
33,43927,2798
33,66201,4874
33,34963,1772
33,33870,2065
33,37839,2225
33,37852,2413
33,43458,3124
33,48964,3113
33,30498,1804
33,36114,2275
33,15362,877
33,12214,1038
33,10916,784
33,15092,899
33,957,53
33,13580,863
33,11195,789
33,6085,383
33,1520,76
33,5296,272
33,15642,928
33,13033,700
34,130482,6516
34,120751,8979
34,138190,9104
34,186985,13532
34,233733,21041
34,149633,10360
34,78789,6177
34,135280,10019
34,239973,14708
34,28644,1648
34,100509,6452
34,145202,8921
34,461357,33000
34,42563,2631
34,56605,3744
34,40244,2282
34,28836,1648
34,190135,14098
34,114038,7828
34,31487,1830
34,27031,1294
34,50442,3960
34,28475,2271
34,24533,1739
34,13262,991
34,7255,316
34,19969,1222
34,8448,330
34,17549,1033
34,10350,502
35,280947,17166
35,173772,11191
35,196628,13740
35,53747,2910
35,116611,8061
35,55012,3952
35,143857,9497
35,53004,3686
35,38349,2111
35,34730,2085
35,28630,1630
35,149487,10213
35,64550,4385
35,19084,734
35,6378,532
35,3332,111
35,15986,1062
35,13491,781
35,3743,163
36,264548,16716
36,61513,3787
36,40614,2643
36,76063,5201
36,44020,2556
36,39247,2338
36,32484,1829
36,29951,1540
36,5765,296
36,1783,76
36,2588,125
36,25954,1748
36,6038,194
36,9318,454
36,4826,235
36,7765,360
36,10446,582
36,15070,1170
36,21658,1620
36,33338,2712
36,14241,927
36,12727,790
36,10490,502
36,15044,919
37,419429,29536
37,110473,8253
37,55621,3460
37,33817,2276
37,62690,4156
37,53000,3281
37,33625,1877
37,68512,4200
37,15123,849
37,16152,871
37,28464,1958
37,3325,186
37,18434,1578
37,24625,1576
37,9967,574
37,23498,1576
37,19087,1161
38,517231,35518
38,166532,10672
38,84210,5230
38,38370,2192
38,121735,8432
38,112091,7817
38,47157,3199
38,38017,2490
38,90187,6058
38,42080,2527
38,35253,2344
38,7648,272
38,9644,443
38,30359,2206
38,21981,1522
38,18045,1116
38,10882,527
38,4377,241
38,11633,644
38,24061,1352
39,343393,23090
39,15210,662
39,19547,1085
39,49472,3432
39,28686,1726
39,24698,1468
39,22610,1424
39,16029,794
39,35933,2309
39,33830,2409
39,28766,1513
39,2947,141
39,3542,194
39,2932,172
39,2970,125
39,1367,72
39,1013,61
39,4048,230
39,4103,192
39,4719,115
39,4358,200
39,411,18
39,25062,1401
39,6500,288
39,7584,361
39,13951,819
39,6374,300
39,3984,200
39,5447,303
39,6407,383
39,18733,1063
39,5783,305
39,1681,98
39,12366,652
40,104469,6185
40,85167,5657
40,61583,3781
40,181936,10407
40,214793,16401
40,71801,3934
40,257097,18298
40,292199,21055
40,212527,10941
40,178429,8889
40,247096,17148
40,193280,15488
40,128659,8445
40,211553,16096
40,123638,7299
40,302402,21266
40,57686,3746
40,131492,8610
40,50605,3323
40,71375,4682
40,69057,4428
40,48512,3755
40,37448,2335
40,70468,4970
40,27031,1722
40,44210,2597
40,58499,4678
40,100172,7751
40,106780,9150
40,95087,7801
40,95501,6529
40,70482,5206
40,57920,4362
40,55431,3597
40,31640,2193
40,30081,1956
40,42589,2698
40,56355,3635
40,40732,2431
40,98435,7214
40,49780,4640
40,38592,2911
40,31318,2752
40,43564,3809
40,26044,1984
40,24679,2226
40,8373,688
40,41997,3848
40,15369,1163
40,30021,1684
40,32119,2341
40,19160,1143
40,8602,485
40,17088,980
40,13863,898
40,29155,2076
40,2432,131
40,15284,1128
40,14350,1150
40,20253,1515
40,11685,703
40,10909,630
40,9617,623
40,18264,1263
40,5503,337
40,3251,198
40,24714,1738
40,36005,2602
40,21572,1243
40,6792,535
40,7852,536
40,19544,1248
41,237506,17209
41,126926,9655
41,69074,5822
41,21404,1429
41,57161,4358
41,50699,3823
41,30720,2348
41,45133,3657
41,28984,2028
41,32899,2381
41,16405,1372
41,17837,1212
41,9224,819
41,26175,1629
41,6379,471
41,20929,1546
41,7369,421
41,9515,689
41,25607,1734
41,9842,675
42,443766,28039
42,261101,18128
42,47455,3285
42,140752,10324
42,90517,7843
42,34905,2301
42,25145,1749
42,34407,2460
42,29377,2116
42,40622,2481
42,31176,1917
42,47245,3275
42,50363,3213
42,42535,3650
42,30110,2736
42,8903,534
42,14651,1169
42,15227,1038
42,2849,119
42,13599,1143
42,22074,1407
43,734474,53747
43,132266,8554
43,35611,2499
43,55321,3773
43,26978,1720
43,69541,4666
43,55391,3610
43,50194,3521
43,37727,2840
43,29902,1916
43,61878,4223
43,28444,1778
43,89065,5783
43,55002,4762
43,11388,552
43,5554,363
43,10564,569
43,16594,1116
43,11247,624
43,31234,2640
43,37734,3424
43,4429,239
43,7877,514
43,1606,110
43,6716,411
43,6792,544
43,11972,684
43,17888,1165
43,8676,656
43,32676,2468
43,11181,650
43,16981,883
43,12715,786
43,19316,1073
43,5062,344
43,11075,921
43,10554,704
43,4375,277
43,2405,158
43,4934,306
43,1205,62
43,3681,309
43,4249,230
43,16638,1290
43,8314,510
44,474094,34806
44,125385,7287
44,84312,6041
44,70940,4865
44,76951,4513
44,41469,2540
